,City,Latitude,Longitude,Temperature (F),Humididity (%),Cloudiness (%),Wind Speed (mph)
505,morant bay,17.8815,-76.4093,78.01,65,75,6.91
506,newtownards,54.5924,-5.6909,43.09,93,90,6.91
507,tomatlan,19.9333,-105.25,67.89,93,6,0.78
509,inirida,3.8653,-67.9239,75.61,87,100,2.77
510,samarai,-10.6167,150.6667,81.9,78,99,1.68
511,buluang,13.3068,123.3425,83.26,68,94,5.82
512,vestmanna,62.1564,-7.1664,28.4,69,40,5.75
513,preeceville,51.95,-102.6677,-11.47,88,38,8.93
514,haines junction,60.7522,-137.5108,-25.6,75,59,1.14
515,raga,8.4596,25.678,69.58,26,19,3.6
516,arlit,18.7369,7.3853,59.54,29,0,4.74
517,tank,32.2217,70.3793,47.32,42,0,2.75
518,vostok,46.4856,135.8833,1.94,85,1,2.13
519,kaa-khem,51.6833,94.7333,4.8,91,100,1.59
520,xuddur,4.1213,43.8894,67.84,85,1,16.08
521,burnie,-41.0667,145.9167,62.01,51,51,14
522,cacoal,-11.4386,-61.4472,73.15,95,100,1.23
523,tiznit,29.5833,-9.5,62.42,38,0,2.68
524,moron,-34.6534,-58.6198,76.91,64,0,10.36
525,nemuro,43.3236,145.575,21.2,63,75,3.44
526,usatove,46.533,30.6596,30.11,100,90,13.42
527,braco do norte,-28.275,-49.1656,76.82,75,100,2.08
528,hibbing,47.4272,-92.9377,-14.03,76,1,2.59
529,san ramon,37.7799,-121.978,45.32,76,90,8.05
530,jalu,29.0331,21.5482,46.96,79,0,7.11
531,fortuna,40.5982,-124.1573,46.72,93,90,9.37
532,bexhill,-28.7667,153.35,80.98,57,75,13.8
533,surt,31.2089,16.5887,54.93,64,0,16.11
534,padang,-0.9492,100.3543,77.0,83,40,1.14
535,malindi,-3.2175,40.1191,76.14,87,40,6.26
536,lexington,37.9887,-84.4777,30.15,93,90,10.36
537,petropavlovsk-kamchatskiy,53.0452,158.6483,14.0,57,97,6.71
538,patti,31.2808,74.8572,40.91,100,0,0.89
539,takoradi,4.8845,-1.7554,77.68,90,0,6.58
540,pacific grove,36.6177,-121.9166,45.95,87,90,5.75
541,kushima,31.4583,131.2333,51.1,71,75,6.91
542,vila velha,-20.3297,-40.2925,76.48,78,0,6.91
543,maningrida,-12.0667,134.2667,77.07,90,100,13.78
544,batsfjord,70.6345,29.7185,22.33,93,100,18.12
545,ixtapa,20.7,-105.2,68.99,88,1,1.43
546,laguna,38.421,-121.4238,45.93,87,90,12.66
547,qidong,31.8128,121.6561,48.36,69,2,5.01
549,kenai,60.5544,-151.2583,15.39,79,75,9.22
550,vila,42.0304,-8.1588,53.01,96,100,5.97
551,beyneu,45.3167,55.2,28.85,93,0,19.84
552,olinda,-8.0089,-34.8553,78.8,69,75,8.05
555,roald,62.5833,6.1333,28.96,93,90,13.8
556,ust-ilimsk,58.0006,102.6619,-11.45,87,100,7.36
558,balikpapan,-1.2675,116.8289,82.4,69,20,10.36
559,nguru,12.8791,10.4526,65.86,19,64,10.6
560,khani,41.9563,42.9566,62.6,20,75,27.63
561,coahuayana,18.7333,-103.6833,71.6,83,1,2.15
562,brokopondo,4.75,-55.1667,74.62,82,71,10.04
563,joshimath,30.5667,79.5667,37.47,38,0,6.38
564,lahad datu,5.0268,118.327,79.25,86,97,6.87
565,liuzhou,24.3126,109.3892,54.91,45,90,16.73
566,fallon,39.4735,-118.7774,33.94,69,90,20.71
567,pushkino,56.0172,37.8667,30.2,80,90,4.47
568,bontang,0.1333,117.5,80.44,83,98,5.53
569,darhan,49.4867,105.9228,-10.61,82,100,8.16
570,itoman,26.1247,127.6694,66.2,59,40,19.57
571,la ronge,55.1001,-105.2842,-4.0,77,0,9.22
572,san cristobal,7.7669,-72.225,64.29,81,25,1.57
573,ornes,66.8689,13.7078,24.44,63,0,23.02
574,union,40.6334,-74.2663,31.51,59,90,11.5
575,leh,34.1667,77.5833,-2.2,58,4,1.39
576,svetlogorsk,52.6333,29.7333,25.59,99,100,4.16
577,zapolyarnyy,69.4154,30.8136,21.2,68,90,13.8
578,oxford,51.7522,-1.256,47.32,100,75,5.75
579,pimentel,-6.8367,-79.9342,71.92,82,9,15.01
580,romilly-sur-seine,48.5108,3.7263,45.77,93,90,5.75
581,bud,39.447,-86.1758,25.0,93,100,11.63
582,boa vista,2.8197,-60.6733,80.6,69,75,13.8
583,sept-iles,50.2001,-66.3821,15.03,58,0,8.05
584,catuday,16.2923,119.8062,79.12,78,16,4.81
585,high level,58.5169,-117.136,-13.0,84,40,4.61
586,praia,14.9215,-23.5087,68.0,83,0,14.97
587,ampanihy,-24.7,44.75,74.75,85,0,5.77
588,natal,-5.795,-35.2094,79.7,78,40,12.66
589,bocana de paiwas,12.7857,-85.1227,71.02,88,4,7.29
590,ambon,-3.6954,128.1814,89.6,62,40,9.22
591,radchenko,56.6803,36.3718,24.08,98,100,3.11
592,ouadda,8.0777,22.4007,72.59,21,76,4.54
593,shakiso,5.75,38.9167,52.2,51,100,4.23
595,leshan,29.5623,103.7639,52.02,64,30,1.63
596,durazno,-33.4131,-56.5006,67.64,54,0,10.22
597,san juan bautista,-14.0108,-75.7358,69.91,73,0,10.36
598,tortoli,39.9256,9.6572,48.99,71,52,5.01
599,souillac,-20.5167,57.5167,73.4,88,40,6.91
600,ukiah,39.1502,-123.2078,44.42,93,90,5.75
601,almaznyy,48.0448,40.045,35.6,100,90,22.37
602,zavyalovo,54.5053,82.4484,21.2,86,90,8.95
603,port lincoln,-34.7333,135.8667,65.55,81,100,8.93
604,sioux lookout,50.1001,-91.917,-14.8,76,1,3.09
605,altstatten,47.3777,9.5475,33.71,100,75,4.61
606,adre,13.4667,22.2,64.94,22,100,13.69
607,acarau,-2.8856,-40.12,79.29,79,48,11.36
608,kahului,20.8947,-156.47,73.56,61,40,27.63
609,tura,25.5198,90.2201,60.51,64,0,2.66
610,qasigiannguit,68.8193,-51.1922,5.0,47,0,2.3
611,kathmandu,27.7167,85.3167,39.2,87,20,2.35
613,puerto del rosario,28.5004,-13.8627,60.8,51,0,5.75
614,glendive,47.1053,-104.7125,13.32,92,1,6.91
615,san pedro del pinatar,37.8357,-0.791,62.62,67,0,8.05
616,marsala,37.7966,12.4352,52.84,87,75,5.75
617,mahajanga,-15.7167,46.3167,77.0,94,40,4.88
618,nouadhibou,20.931,-17.0347,62.6,77,0,11.5
619,okhotsk,59.3833,143.3,-6.61,80,50,12.95
620,lensk,60.7253,114.9278,-40.02,78,60,3.15
621,caravelas,-17.7125,-39.2481,75.78,83,99,5.77
623,lagoa,39.05,-27.9833,59.99,82,0,24.7
624,sola,-13.8833,167.55,82.69,80,100,18.52
625,kupang,-10.1667,123.5833,84.2,79,75,13.8
626,nabire,-3.3667,135.4833,85.12,70,100,2.24
627,san carlos del zulia,9,-71.9135,75.58,79,29,2.68
629,kristiansund,63.1115,7.732,28.4,86,100,17.16
630,waipawa,-41.4122,175.5153,68.58,73,75,23.02
631,carauari,-4.8828,-66.8958,74.86,95,95,0.4
632,shirokiy,49.758,129.523,-17.43,86,2,2.91
